Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score_Total,Segmento,Customer Name,Customer Age,Gender,Churn
1,288,3,6290,2,1,1,4,Clientes Dormidos / En Riesgo,Dominic Cline,67,Female,0
2,72,6,16481,3,2,3,8,Campeones / VIP,Crystal Day,42,Female,0
3,222,4,9423,2,1,1,4,Clientes Dormidos / En Riesgo,Joseph Perez,31,Male,0
4,441,5,7826,1,2,1,4,Clientes Dormidos / En Riesgo,Wyatt Love,37,Male,0
5,424,5,9769,1,2,1,4,Clientes Dormidos / En Riesgo,Shannon Hoffman,24,Female,0
6,140,9,25428,2,3,3,8,Campeones / VIP,Andrea Rodriguez,34,Female,0
7,141,8,17825,2,3,3,8,Campeones / VIP,Scott Williams,22,Male,1
8,25,7,16245,3,3,3,9,Campeones / VIP,Kathleen Quinn,66,Male,0
9,140,7,24621,2,3,3,8,Campeones / VIP,Michael Wilcox,39,Female,0
10,130,8,20672,2,3,3,8,Campeones / VIP,Thomas Carr,49,Female,0
11,102,8,17730,3,3,3,9,Campeones / VIP,Alexander White,67,Male,1
12,113,7,16756,2,3,3,8,Campeones / VIP,Rebecca Perez,31,Male,0
13,258,5,13798,2,2,2,6,Leales y Activos,Krystal Anderson,60,Male,0
14,263,5,14119,2,2,2,6,Leales y Activos,Alexis Hernandez,42,Male,0
15,81,5,16533,3,2,3,8,Campeones / VIP,James Fisher,38,Male,1
16,104,3,7196,3,1,1,5,Leales y Activos,Ernest Brooks,67,Male,0
17,102,8,22968,3,3,3,9,Campeones / VIP,John Brooks,32,Male,0
18,426,2,4859,1,1,1,3,Clientes Dormidos / En Riesgo,Maurice French,52,Male,0
19,517,5,12232,1,2,2,5,Leales y Activos,Janet Rivers,37,Male,0
20,76,4,17443,3,1,3,7,Leales y Activos,Mike Parks DVM,42,Male,0
21,265,5,10598,2,2,2,6,Leales y Activos,Jeffrey Williams,20,Male,1
22,13,5,14137,3,2,2,7,Leales y Activos,Jennifer Rivera,40,Female,0
23,134,7,18733,2,3,3,8,Campeones / VIP,Justin Smith,33,Female,0
24,144,4,11413,2,1,2,5,Leales y Activos,Emily Dunn,69,Female,0
25,353,3,9876,1,1,1,3,Clientes Dormidos / En Riesgo,Nathan Coleman,18,Female,0
26,184,3,9845,2,1,1,4,Clientes Dormidos / En Riesgo,Jason Thomas,50,Male,0
27,238,4,12554,2,1,2,5,Leales y Activos,Cory Buckley,45,Female,1
28,308,4,16765,1,1,3,5,Leales y Activos,Laura Walls,56,Male,0
29,571,5,13240,1,2,2,5,Leales y Activos,Karla Figueroa,54,Male,0
30,57,4,8047,3,1,1,5,Leales y Activos,Christina Little,33,Female,1
31,153,6,16430,2,2,3,7,Leales y Activos,Christina Woods,50,Male,0
32,863,5,11953,1,2,2,5,Leales y Activos,Jeremy Wise,39,Female,0
33,486,7,24987,1,3,3,7,Leales y Activos,Austin Shea,41,Male,1
34,300,1,658,1,1,1,3,Clientes Dormidos / En Riesgo,Heather King,57,Male,1
35,269,8,24174,2,3,3,8,Campeones / VIP,Bobby Hubbard,65,Female,0
36,25,4,11107,3,1,2,6,Leales y Activos,Ronald Smith,38,Male,0
37,32,8,15557,3,3,2,8,Campeones / VIP,James Thomas,52,Female,0
38,236,4,11437,2,1,2,5,Leales y Activos,Troy Cunningham,44,Female,0
39,472,7,20951,1,3,3,7,Leales y Activos,Taylor Townsend,36,Male,0
40,277,6,16453,2,2,3,7,Leales y Activos,William Hammond,32,Female,0
41,234,7,25741,2,3,3,8,Campeones / VIP,Angel Williams,70,Female,0
42,19,6,18931,3,2,3,8,Campeones / VIP,Jackie Fitzpatrick,22,Female,0
43,120,5,17364,2,2,3,7,Leales y Activos,Ian Rodriguez,60,Male,0
44,68,4,11927,3,1,2,6,Leales y Activos,Jeffrey Moreno,28,Female,0
45,20,7,23309,3,3,3,9,Campeones / VIP,Travis Brady,70,Female,1
46,145,8,22536,2,3,3,8,Campeones / VIP,Gregory Wilson,37,Female,0
47,240,8,18507,2,3,3,8,Campeones / VIP,Kristi Harris,18,Female,0
48,24,3,11983,3,1,2,6,Leales y Activos,Jessica Miller,36,Female,1
49,795,2,6868,1,1,1,3,Clientes Dormidos / En Riesgo,Jamie Rivas,63,Male,0
50,198,4,11595,2,1,2,5,Leales y Activos,Ashley Carpenter,38,Female,0
51,319,11,29769,1,3,3,7,Leales y Activos,Colleen Pace,18,Male,0
52,82,8,18753,3,3,3,9,Campeones / VIP,Miranda Smith,58,Male,0
53,170,4,8902,2,1,1,4,Clientes Dormidos / En Riesgo,Yolanda Campbell,23,Female,0
54,120,5,15001,2,2,2,6,Leales y Activos,Jennifer Matthews,28,Female,0
55,271,5,15117,2,2,2,6,Leales y Activos,Karen Ramirez,35,Male,0
56,539,4,11599,1,1,2,4,Clientes Dormidos / En Riesgo,Sophia Butler,51,Female,0
57,323,5,17134,1,2,3,6,Leales y Activos,Andrew Gutierrez,31,Female,0
58,156,4,6959,2,1,1,4,Clientes Dormidos / En Riesgo,Tara Nixon,59,Male,0
59,56,7,26988,3,3,3,9,Campeones / VIP,Julie Price,39,Female,1
60,292,8,19803,2,3,3,8,Campeones / VIP,James Bryant,24,Male,0
61,87,4,6388,3,1,1,5,Leales y Activos,Cynthia Young,33,Male,1
62,486,3,11855,1,1,2,4,Clientes Dormidos / En Riesgo,Matthew Powers,19,Female,0
63,363,6,23109,1,2,3,6,Leales y Activos,Nicole Anderson,23,Male,1
64,706,3,6620,1,1,1,3,Clientes Dormidos / En Riesgo,Jon Webb,38,Male,0
65,66,6,12404,3,2,2,7,Leales y Activos,Ann Bailey,32,Male,1
66,47,6,18045,3,2,3,8,Campeones / VIP,Karen Figueroa,53,Female,0
67,295,2,5269,1,1,1,3,Clientes Dormidos / En Riesgo,Kent Lane,62,Female,0
68,835,3,10642,1,1,2,4,Clientes Dormidos / En Riesgo,John Sanders,48,Male,1
69,225,3,8622,2,1,1,4,Clientes Dormidos / En Riesgo,Anthony Sanders,22,Male,0
70,5,9,24074,3,3,3,9,Campeones / VIP,Justin Walker,38,Male,1
71,429,2,2540,1,1,1,3,Clientes Dormidos / En Riesgo,Pamela Harmon,43,Female,1
72,165,7,17152,2,3,3,8,Campeones / VIP,Kendra Ramirez,25,Male,0
73,570,2,5460,1,1,1,3,Clientes Dormidos / En Riesgo,Pamela Wolf,68,Male,0
74,131,5,9391,2,2,1,5,Leales y Activos,Chad Parsons,59,Male,0
75,208,3,7176,2,1,1,4,Clientes Dormidos / En Riesgo,Jacob Shaw,65,Male,0
76,102,2,8123,3,1,1,5,Leales y Activos,Samantha Baird,40,Male,0
77,778,2,4495,1,1,1,3,Clientes Dormidos / En Riesgo,Autumn Williams,58,Male,0
78,598,4,10920,1,1,2,4,Clientes Dormidos / En Riesgo,William Rodriguez,51,Female,1
79,790,3,7066,1,1,1,3,Clientes Dormidos / En Riesgo,Ashley Banks,43,Female,0
80,349,10,22648,1,3,3,7,Leales y Activos,Douglas Adams,34,Female,0
81,346,5,12760,1,2,2,5,Leales y Activos,Bailey White,42,Male,0
82,98,4,6949,3,1,1,5,Leales y Activos,Christine Thompson,21,Female,0
83,158,8,16211,2,3,3,8,Campeones / VIP,Beth Duran,24,Female,0
84,69,3,2557,3,1,1,5,Leales y Activos,Patrick Smith,49,Male,0
85,253,7,16901,2,3,3,8,Campeones / VIP,Sandra Reese,27,Female,0
86,272,6,12123,2,2,2,6,Leales y Activos,Brittney Gardner,21,Male,0
87,243,2,5436,2,1,1,4,Clientes Dormidos / En Riesgo,Amber Maldonado,46,Female,0
88,418,5,11135,1,2,2,5,Leales y Activos,Jessica Murphy,33,Male,0
89,1,7,18361,3,3,3,9,Campeones / VIP,Stephen Cervantes,24,Male,1
